char,pinyin,definition,radical_char,radical_index,stroke_count,hsk_level,general_standard,frequency_rank
购,gòu,"buy, purchase; hire",貝,154.4,8,4,1117,1078.0
虎,hǔ,"tiger; brave, fierce; surname",虍,141.2,8,4,1071,1083.0
扬,yáng,"scatter, spread; praise",手,64.3,6,4,368,1084.0
毕,bì,"end, finish, conclude; completed",比,81.2,6,4,409,1093.0
尤,yóu,"especially, particularly",尢,43.1,4,4,98,1099.0
竞,jìng,"contend, vie, compete",立,117.5,10,4,2043,1100.0
弃,qì,"reject, abandon, discard",廾,55.4,7,4,842,1105.0
麻,má,"hemp, jute, flax; sesame",麻,200.0,11,4,2379,1108.0
申,shēn,"to state to a superior, report; extend; 9th terrestrial branch",田,102.0,5,4,240,1110.0
售,shòu,sell,口,30.8,11,4,2332,1114.0
针,zhēn,needle; pin; tack; acupuncture,金,167.2,7,4,757,1116.0
抱,bào,"embrace, hold in arms, enfold",手,64.5,8,4,978,1122.0
鼓,gǔ,"drum; beat, top, strike",鼓,207.0,13,4,2837,1123.0
植,zhí,"plant, trees, plants; grow",木,75.8,12,4,2566,1124.0
页,yè,"page, sheet, leaf; rad. no. 181",頁,181.0,6,4,393,1128.0
折,zhé,"break off, snap; bend",手,64.4,7,4,632,1131.0
尊,zūn,"respect, revere, venerate; honor",寸,41.9,12,4,2743,1134.0
秀,xiù,"ear of grain; flowering, luxuriant; refined, elegant, graceful",禾,115.2,7,4,765,1136.0
染,rǎn,dye; be contagious; infect,木,75.5,9,4,1675,1141.0
迷,mí,"bewitch, charm, infatuate",辵,162.6,9,4,1647,1153.0
诚,chéng,"sincere, honest; true, real",言,149.6,8,4,1291,1154.0
彩,cǎi,"hue, color; variegated colors",彡,59.8,11,4,2353,1177.0
抽,chōu,"draw out, pull out; sprout",手,64.5,8,4,966,1178.0
浪,làng,"wave; wasteful, reckless",水,85.7,10,4,2084,1186.0
丰,fēng,"abundant, lush, bountiful, plenty",丨,2.3,4,4,74,1189.0
译,yì,translate; decode; encode,言,149.5,7,4,898,1198.0
距,jù,,足,157.5,11,4,2273,1202.0
符,fú,"i.d. tag, tally, symbol, charm",竹,118.5,11,4,2321,1205.0
勇,yǒng,"brave, courageous, fierce",力,19.7,9,4,1746,1206.0
厅,tīng,"hall, central room",厂,27.2,4,4,90,1217.0
拜,bài,"do obeisance, bow, kowtow",手,64.5,9,4,1538,1218.0
巧,qiǎo,"skillful, ingenious, clever",工,48.2,5,4,197,1219.0
戴,dài,wear on top; support,戈,62.14,17,4,3388,1228.0
童,tóng,"child, boy, servant boy; virgin",立,117.7,12,4,2735,1229.0
乘,chéng,"ride, ascend; avail oneself of; numerary adjunct for vehicles",丿,4.9,10,4,1941,1231.0
挂,guà,"hang, suspend; suspense",手,64.6,9,4,1365,1232.0
奖,jiǎng,"prize, reward; give award to",大,37.6,9,4,1618,1233.0
厚,hòu,thick; substantial; greatly,厂,27.7,9,4,1449,1235.0
镜,jìng,mirror; lens; glass; glasses,金,167.11,16,4,3354,1251.0
烦,fán,"bother, vex, trouble; troublesome",火,86.6,10,4,2059,1253.0
签,qiān,"sign, endorse; slip of paper",竹,118.7,13,4,2953,1254.0
牌,pái,"signboard, placard",片,91.8,12,4,2692,1261.0
咱,zán,"we, us",口,30.6,9,4,1508,1265.0
奋,fèn,"strive, exert effort; arouse",大,37.5,8,4,1051,1268.0
播,bō,"sow, spread; broadcast; cast away, reject",手,64.12,15,4,3199,1275.0
桥,qiáo,"bridge; beam, crosspiece",木,75.6,10,4,1841,1292.0
寒,hán,"cold, wintry, chilly",宀,40.9,12,4,2780,1297.0
聚,jù,"assemble, meet together, collect",耳,128.8,14,4,3065,1306.0
袋,dài,"pocket, bag, sack, pouch",衣,145.5,11,4,2325,1310.0
暂,zàn,temporary,日,72.8,12,4,2599,1325.0
估,gū,"merchant; estimate, guess, presume",人,9.5,7,4,769,1326.0
拒,jù,"ward off with hand, defend",手,64.5,7,4,620,1331.0
忆,yì,"remember, reflect upon; memory",心,61.1,4,4,167,1333.0
闹,nào,quarrel; dispute hotly,門,169.5,8,4,1228,1336.0
厉,lì,"whetstone; grind, sharpen; whet",厂,27.3,5,4,215,1339.0
穷,qióng,"poor, destitute, impoverished",穴,116.2,7,4,882,1343.0
码,mǎ,"number, numerals; yard; symbol",石,112.3,8,4,1046,1345.0
偶,ǒu,"accidentally, coincidently; an idol",人,9.9,11,4,2328,1361.0
稍,shāo,"little, slightly; rather",禾,115.7,12,4,2676,1373.0
矿,kuàng,"mine; mineral, ore",石,112.3,8,4,1045,1385.0
抬,tái,"lift, carry",手,64.5,8,4,993,1386.0
倍,bèi,"times, fold, multiple times",人,9.8,10,4,1967,1392.0
污,wū,"filthy, dirty, impure, polluted",水,85.3,6,4,537,1405.0
耐,nài,"endure, bear; resist; patient",而,126.3,9,4,1456,1409.0
粗,cū,"rough, thick, course; rude",米,119.5,11,4,2403,1414.0
悉,xī,"know, learn about, comprehend",心,61.7,11,4,2351,1428.0
详,xiáng,"detailed, complete, thorough",言,149.6,8,4,1301,1439.0
允,yǔn,"to grant, to allow, to consent",儿,10.2,4,4,183,1443.0
剩,shèng,"leftovers, residue, remains",刀,18.1,12,4,2675,1446.0
漫,màn,overflow of water; spreading,水,85.11,14,4,3164,1455.0
酸,suān,"tart, sour; acid; stiff; spoiled",酉,164.7,14,4,3089,1456.0
辛,xīn,"bitter; toilsome, laborious; 8th heavenly stem",辛,160.0,7,4,841,1463.0
餐,cān,"eat, dine; meal; food",食,184.7,16,4,3341,1465.0
挺,tǐng,"to stand upright, straighten; rigid",手,64.7,9,4,1382,1467.0
励,lì,strive; encourage,力,19.5,7,4,702,1468.0
键,jiàn,"door bolt, lock bolt; key",金,167.8,13,4,2943,1471.0
扰,rǎo,"disturb, annoy, agitate",手,64.4,7,4,618,1483.0
阅,yuè,"examine, inspect, review, read",門,169.7,10,4,2048,1489.0
汗,hàn,"perspiration, sweat",水,85.3,6,4,536,1490.0
骗,piàn,"swindle, cheat out of, defraud",馬,187.9,12,4,2821,1503.0
龄,líng,age; years,齒,211.5,13,4,2893,1510.0
惜,xī,"pity, regret, rue, begrudge",心,61.8,11,4,2439,1512.0
仔,zǐ,"small thing, child; young animal",人,9.3,5,4,276,1572.0
俩,liǎ,"two, pair",人,9.7,9,4,1557,1574.0
籍,jí,"record, register, list; census",竹,118.14,20,4,3482,1579.0
凉,liáng,"cool, cold; disheartened",冫,15.8,10,4,2040,1581.0
貌,mào,"countenance, appearance",豸,153.7,14,4,3131,1595.0
猜,cāi,"guess, conjecture, suppose; feel",犬,94.8,11,4,2364,1598.0
怜,lián,"pity, sympathize",心,61.5,8,4,1270,1599.0
躺,tǎng,"lie down, recline",身,158.8,15,4,3270,1608.0
钢,gāng,"steel; hard, strong, tough",金,167.4,9,4,1529,1609.0
寄,jì,"send, transmit, mail; rely on",宀,40.8,11,4,2453,1611.0
汤,tāng,"hot water; soup, gravy, broth",水,85.3,6,4,542,1618.0
肥,féi,"fat, plump, obese; fertile",肉,130.4,8,4,1189,1620.0
尝,cháng,"taste; experience, experiment",小,42.6,9,4,1476,1621.0
厌,yàn,"dislike, detest, reject; satiate",厂,27.4,6,4,386,1633.0
脏,zàng,"internal organs, viscera; dirty",肉,130.6,10,4,1998,1634.0
幽,yōu,"quiet, secluded, tranquil; dark",幺,52.6,9,4,1524,1636.0
丢,diū,discard,一,1.5,6,4,447,1639.0
泉,quán,"spring, fountain; wealth, money",水,85.5,9,4,1572,1641.0
祝,zhù,pray for happiness or blessings,示,113.5,9,4,1712,1651.0
陪,péi,"accompany, be with, keep company",阜,170.8,10,4,2139,1664.0
贺,hè,congratulate; send present,貝,154.5,9,4,1744,1690.0
琴,qín,Chinese lute or guitar,玉,96.8,12,4,2501,1701.0
恼,nǎo,"angered, filled with hate",心,61.6,9,4,1691,1704.0
敲,qiāo,"strike, beat, pound, hammer; rap",攴,66.1,14,4,3140,1732.0
暖,nuǎn,"warm, genial",日,72.9,13,4,2906,1745.0
糖,táng,sugar; candy; sweets,米,119.1,16,4,3374,1746.0
擦,cā,"wipe, scrub, rub, scour; brush",手,64.14,17,4,3389,1761.0
肤,fū,"skin; superficial, shallow",肉,130.4,8,4,1180,1790.0
肚,dù,belly; abdomen; bowels,肉,130.3,7,4,805,1800.0
赢,yíng,"win; surplus, gain, profit",亠,8.15,17,4,3427,1836.0
址,zhǐ,"site, location, land for house",土,32.4,7,4,623,1848.0
悔,huǐ,"repent, show remorse, regret",心,61.7,10,4,2094,1853.0
邀,yāo,"invite, welcome; meet, intercept",辵,162.13,16,4,3362,1854.0
羽,yǔ,"feather, plume; wings; rad. 124",羽,124.0,6,4,585,1865.0
盐,yán,salt,皿,108.5,10,4,1790,1885.0
傅,fù,"tutor, teacher; assist; surname",人,9.1,12,4,2691,1887.0
帅,shuài,"commander, commander-in-chief",巾,50.2,5,4,233,1888.0
扔,rēng,"throw, hurl; throw away, cast",手,64.2,5,4,203,1905.0
傲,ào,"proud, haughty, overbearing",人,9.11,12,4,2690,1960.0
拾,shí,"pick up, collect, tidy up; accounting form of the numeral ten",手,64.6,9,4,1386,1961.0
填,tián,"fill in, fill up; make good",土,32.1,13,4,2834,1970.0
扮,bàn,dress up; dress up as,手,64.4,7,4,636,1974.0
愉,yú,"pleasant, delightful; please",心,61.9,12,4,2777,1982.0
慕,mù,"long for, desire; admire",心,61.11,14,4,3066,1990.0
秒,miǎo,beard of grain or corn; a second,禾,115.4,9,4,1547,2028.0
塑,sù,"model in clay, sculpt; plastics",土,32.1,13,4,3001,2038.0
羞,xiū,"disgrace, shame; ashamed; shy",羊,123.5,10,4,2049,2048.0
盒,hé,small box or case; casket,皿,108.6,11,4,2348,2067.0
棵,kē,numerary adjunct for trees,木,75.8,12,4,2571,2108.0
谅,liàng,"excuse, forgive; guess, presume",言,149.8,10,4,2125,2120.0
葡,pú,grapes,艸,140.9,12,4,2552,2130.0
厨,chú,kitchen; closet; cupboard,厂,27.1,12,4,2587,2132.0
鸭,yā,duck; Anas species (various),鳥,196.5,10,4,1892,2133.0
谊,yì,"friendship; appropriate, suitable",言,149.8,10,4,2128,2136.0
歉,qiàn,"deficient, lacking, insufficient",欠,76.1,14,4,3155,2149.0
赚,zhuàn,"make money, earn; gain, profit",貝,154.1,14,4,3112,2182.0
萄,táo,grapes,艸,140.8,11,4,2208,2210.0
脾,pí,"spleen, pancreas; disposition",肉,130.8,12,4,2713,2223.0
懒,lǎn,"lazy, languid, listless",心,61.13,16,4,3380,2230.0
骄,jiāo,spirited horse; haughty,馬,187.6,9,4,1756,2248.0
聘,pìn,"engage, employ; betroth",耳,128.7,13,4,2845,2253.0
巾,jīn,kerchief; towel; turban; KangXi radical number 50,巾,50.0,3,4,40,2281.0
堵,dǔ,"wall; stop, prevent; stop up",土,32.9,11,4,2161,2284.0
棒,bàng,"stick, club, truncheon; hit",木,75.8,12,4,2562,2288.0
硕,shuò,"great, eminent; large, big",石,112.6,11,4,2241,2304.0
戚,qī,relative; be related to; sad,戈,62.7,11,4,2239,2316.0
笨,bèn,"foolish, stupid, dull; awkward",竹,118.5,11,4,2317,2323.0
泼,pō,"pour, splash, water, sprinkle",水,85.5,8,4,1262,2327.0
郊,jiāo,"suburbs; waste land, open spaces",邑,163.6,8,4,1218,2351.0
饼,bǐng,"rice-cakes, biscuits",食,184.6,9,4,1614,2359.0
咳,hāi,cough,口,30.6,9,4,1513,2373.0
桶,tǒng,"pail, bucket, tub; cask, keg",木,75.7,11,4,2230,2411.0
辣,là,"peppery, pungent, hot; cruel",辛,160.7,14,4,3148,2420.0
膊,bó,"shoulders, upper arms",肉,130.1,14,4,3133,2440.0
趟,tàng,"time, occasion; take journey",走,156.8,15,4,3195,2457.0
匙,shi,spoon; surname,匕,21.9,11,4,2259,2476.0
钥,yào,key; lock,金,167.4,9,4,1531,2481.0
胳,gē,"armpit, arms",肉,130.6,10,4,1997,2490.0
咸,xián,"together; all, completely; united",口,30.6,9,4,1443,2525.0
汁,zhī,"juice, liquor, fluid, sap, gravy, sauce",水,85.2,5,4,308,2540.0
垃,lā,"garbage, refuse, waste",土,32.5,8,4,980,2628.0
烤,kǎo,"bake, roast, toast, cook",火,86.6,10,4,2057,2629.0
圾,jī,"garbage, rubbish; shaking; danger",土,32.4,6,4,362,2634.0
逛,guàng,"ramble, stroll, roam, wander",辵,162.7,10,4,2003,2642.0
膏,gāo,"grease, fat; paste, ointment",肉,130.1,14,4,3142,2673.0
羡,xiàn,"envy, admire; praise; covet",羊,123.6,12,4,2740,2732.0
暑,shǔ,hot,日,72.8,12,4,2613,2743.0
嗽,sòu,"cough, gargle, clear throat",口,30.11,14,4,3103,2815.0
橡,xiàng,chestnut oak; rubber tree; rubber,木,75.12,15,4,3216,2871.0
厕,cè,"mingle with; toilet, lavatory",厂,27.6,8,4,1047,2920.0
袜,wà,"socks, stockings",衣,145.5,10,4,2115,3045.0
勺,sháo,"spoon, ladle; unit of volume",勹,20.1,3,4,49,3275.0
柿,shì,persimmon,木,75.5,9,4,1436,3355.0
乒,pīng,used with pong for ping pong,丿,4.5,6,4,456,3447.0
乓,pāng,used with ping for ping pong,丿,4.5,6,4,457,3502.0
饺,jiǎo,stuffed dumplings,食,184.6,9,4,1613,3650.0
军,jūn,"army, military; soldiers, troops",車,159.2,6,5,552,102.0
战,zhàn,"war, fighting, battle",戈,62.5,9,5,1468,145.0
政,zhèng,"government, political affairs",攴,66.4,9,5,1376,150.0
产,chǎn,"give birth, bring forth, produce",立,117.1,6,5,522,159.0
制,zhì,system; establish; overpower,刀,18.6,8,5,1121,163.0
代,dài,"replace, replacement (of person or generation); era, generation",人,9.3,5,5,271,174.0
立,lì,"stand; let stand; establish, set",立,117.0,5,5,302,197.0
义,yì,"right conduct, righteousness",丿,4.2,3,5,57,208.0
神,shén,"spirit, god, supernatural being",示,113.5,9,5,1711,227.0
德,dé,"ethics, morality, virtue",彳,60.12,15,5,3272,256.0
统,tǒng,"govern, command, control; unite",糸,120.6,9,5,1765,264.0
形,xíng,"form, shape, appearance",彡,59.4,7,5,604,269.0
治,zhì,"govern, regulate, administer",水,85.5,8,5,1264,274.0
达,dá,"arrive at, reach; intelligent; smooth, slippery",辵,162.3,6,5,398,289.0
强,qiáng,"strong, powerful, energetic",弓,57.9,12,5,2802,292.0
权,quán,"power, right, authority",木,75.2,6,5,378,297.0
王,wáng,"king, ruler; royal; surname",玉,96.0,4,5,75,299.0
设,shè,build; establish; display,言,149.4,6,5,560,302.0
品,pǐn,"article, product, commodity",口,30.6,9,5,1503,308.0
类,lèi,"class, group, kind, category",大,37.6,9,5,1646,311.0
领,lǐng,"neck; collar; lead, guide",頁,181.5,11,5,2354,329.0
造,zào,"construct, build, make, begin; prepare",辵,162.7,10,5,1940,354.0
组,zǔ,"class; section, department",糸,120.5,8,5,1338,358.0
英,yīng,"petal, flower, leaf; brave, a hero; England, English",艸,140.5,8,5,1006,371.0
令,lìng,,人,9.3,5,5,282,378.0
布,bù,"cotton cloth, textiles, linen",巾,50.2,5,5,218,380.0
未,wèi,not yet; 8th terrestrial branch,木,75.1,5,5,192,385.0
击,jī,"strike, hit, beat; attack, fight",凵,17.3,5,5,195,395.0
兵,bīng,"soldier, troops",八,12.5,7,5,768,398.0
团,tuán,"sphere, ball, circle; mass, lump",囗,31.3,6,5,425,405.0
集,jí,"assemble, collect together",隹,172.4,12,5,2694,406.0
华,huá,flowery; illustrious; Chinese,十,24.4,6,5,472,412.0
石,shí,"stone, rock, mineral; rad. 112",石,112.0,5,5,216,414.0
府,fǔ,prefecture; prefect; government,广,53.5,8,5,1211,417.0
似,shì,"resemble, similar to; as if, seem",人,9.5,6,5,481,431.0
官,guān,"official, public servant",宀,40.5,8,5,1281,432.0
器,qì,"receptacle, vessel; instrument",口,30.13,16,5,3348,441.0
称,chēng,"call; name, brand; address; say",禾,115.5,10,5,1948,449.0
企,qǐ,plan a project; stand on tiptoe,人,9.4,6,5,490,450.0
委,wěi,"appoint, send, commission",女,38.5,8,5,1133,457.0
曾,céng,already; sign of past,曰,73.8,12,5,2747,463.0
农,nóng,"agriculture, farming; farmer",冖,14.4,6,5,558,465.0
装,zhuāng,"dress, clothes, attire; fill",衣,145.6,12,5,2726,467.0
显,xiǎn,"manifest, display; evident, clear",日,72.5,9,5,1485,469.0
念,niàn,"think of, recall, study",心,61.4,8,5,1177,477.0
青,qīng,"blue, green, black; young",青,174.0,8,5,947,497.0
武,wǔ,"military; martial, warlike",止,77.4,8,5,946,501.0
势,shì,"power, force; tendency",力,19.6,8,5,977,506.0
古,gǔ,"old, classic, ancient",口,30.2,5,5,208,509.0
构,gòu,"frame, building, structure",木,75.4,8,5,1029,511.0
土,tǔ,"soil, earth; items made of earth",土,32.0,3,5,27,515.0
投,tóu,"throw, cast, fling, pitch; jump",手,64.4,7,5,643,516.0
某,mǒu,certain thing or person,木,75.5,9,5,1399,517.0
维,wéi,"maintain, preserve, safeguard",糸,120.8,11,5,2492,520.0
革,gé,"leather, animal hides; rad. 177",革,177.0,9,5,1403,521.0
敌,dí,"enemy, foe, rival; resist",舌,135.4,10,5,1942,523.0
致,zhì,"send, deliver, present; cause",至,133.3,10,5,1879,524.0
派,pài,"school of thought, sect, branch",水,85.6,9,5,1673,532.0
营,yíng,"encampment, barracks; manage",艸,140.8,11,5,2214,536.0
巴,bā,"greatly desire, anxiously hope",己,49.1,4,5,178,546.0
防,fáng,defend; prevent; embankment,阜,170.4,6,5,576,548.0
施,shī,"grant, bestow; give; act; name",方,70.5,9,5,1634,553.0
型,xíng,"pattern, model, type; law; mold",土,32.6,9,5,1363,556.0
依,yī,"rely on, be set in; consent, obey a wish",人,9.6,8,5,1153,568.0
群,qún,"(same as 羣) group, crowd, multitude, mob",羊,123.7,13,5,3035,570.0
项,xiàng,"neck, nape of neck; sum; funds",頁,181.3,9,5,1370,571.0
织,zhī,"weave, knit; organize, unite",糸,120.5,8,5,1342,578.0
斗,dòu,Chinese peck; liquid measure,斗,68.0,4,5,166,580.0
采,cǎi,"collect, gather; pick, pluck",釆,165.1,8,5,1172,585.0
杀,shā,"kill, slaughter, murder; hurt",木,75.2,6,5,487,587.0
朝,cháo,dynasty; morning,月,74.8,12,5,2559,593.0
属,shǔ,"class, category, type; belong to",尸,44.9,12,5,2800,610.0
限,xiàn,"boundary, limit, line",阜,170.6,8,5,1323,613.0
威,wēi,"pomp, power; powerful; dominate",女,38.6,9,5,1444,622.0
状,zhuàng,form; appearance; shape; official,犬,94.3,7,5,828,624.0
率,lǜ,to lead; ratio; rate; limit,玄,95.6,11,5,2395,625.0
独,dú,"alone, single, solitary, only",犬,94.6,9,5,1602,627.0
创,chuàng,"establish, create; knife cut",刀,18.4,6,5,494,635.0
承,chéng,"inherit, receive; succeed",手,64.4,8,5,1315,639.0
股,gǔ,"thighs, haunches, rump; share",肉,130.4,8,5,1186,644.0
益,yì,"profit, benefit; advantage",皿,108.5,10,5,2055,649.0
血,xuè,blood; radical number 143,血,143.0,6,5,479,658.0
素,sù,white (silk); plain; vegetarian; formerly; normally,糸,120.4,10,5,1775,661.0
夜,yè,"night, dark; in night; by night",夕,36.5,8,5,1209,665.0
初,chū,"beginning, initial, primary",刀,18.5,7,5,889,667.0
源,yuán,"spring; source, head; surname",水,85.1,13,5,3008,670.0
食,shí,eat; meal; food; KangXi radical number 184,食,184.0,9,5,1589,671.0
待,dài,"treat, entertain, receive; wait",彳,60.6,9,5,1580,673.0
述,shù,"narrate, state, express",辵,162.5,8,5,1032,674.0
陆,lù,"land, continental; army",阜,170.5,7,5,912,675.0
置,zhì,"place, lay out; set aside",网,122.8,13,5,2931,677.0
劳,láo,"labor, toil, do manual work",力,19.5,7,5,674,679.0
财,cái,"wealth, valuables, riches",貝,154.3,7,5,756,680.0
纳,nà,"admit, take, receive, accept",糸,120.4,7,5,934,684.0
雷,léi,thunder,雨,173.5,13,5,2884,686.0
模,mó,"model, standard, pattern; copy",木,75.11,14,5,3078,689.0
充,chōng,"fill, be full, supply",儿,10.4,6,5,525,690.0
木,mù,"tree; wood, lumber; wooden",木,75.0,4,5,87,694.0
龙,lóng,dragon; symbolic of emperor,龍,212.0,5,5,221,696.0
冲,chōng,soar; pour boiling water over,冫,15.4,6,5,511,702.0
射,shè,"shoot, eject, issue forth, emit",寸,41.7,10,5,1971,703.0
略,lüè,"approximately, roughly; outline",田,102.6,11,5,2277,704.0
范,fàn,surname; bee-like insect,艸,140.5,8 9,5,1010,705.0
村,cūn,"village, hamlet; uncouth, vulgar",木,75.3,7,5,682,712.0
哈,hā,sound of laughter,口,30.6,9,5,1510,713.0
退,tuì,"step back, retreat, withdraw",辵,162.6,9,5,1720,723.0
余,yú,"I, my, me; surname; surplus",人,9.5,7,5,795,729.0
痛,tòng,"pain, ache; sorry, sad; bitter",疒,104.7,12,5,2734,730.0
灵,líng,"spirit, soul; spiritual world",彐,58.4,7,5,900,734.0
配,pèi,"match, pair; equal; blend",酉,164.3,10,5,1858,738.0
征,zhēng,"invade, attack, conquer",彳,60.5,8,5,1159,739.0
挥,huī,direct; wipe away; squander,手,64.6,9,5,1396,742.0
胜,shèng,"victory; excel, be better than",肉,130.5,9,5,1594,743.0
阶,jiē,"stairs, steps; rank, degree",阜,170.4,6,5,574,745.0
沉,chén,"sink, submerge; addicted to",水,85.4,7,5,871,747.0
善,shàn,"good, virtuous, charitable, kind",口,30.9,12,5,2738,749.0
执,zhí,hold in hand; keep; carry out,手,64.3,6,5,363,763.0
追,zhuī,"pursue, chase after; expel",辵,162.6,9,5,1577,768.0
宣,xuān,"declare, announce, proclaim",宀,40.6,9,5,1695,770.0
佛,fú,Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.),人,9.5,7,5,789,771.0
控,kòng,"accuse, charge; control",手,64.8,11,5,2187,780.0
税,shuì,taxes,禾,115.7,12,5,2679,781.0
背,bèi,back; back side; behind; betray,肉,130.5,9,5,1467,787.0
阵,zhèn,"column, row or file of troops",阜,170.4,6,5,571,788.0
恶,è,"evil, wicked, bad, foul",心,61.6,10,5,1829,792.0
顿,dùn,"pause, stop; bow, kowtow; arrange",頁,181.4,10,5,1877,794.0
守,shǒu,"defend, protect, guard, conserve",宀,40.3,6,5,546,796.0
岛,dǎo,island,山,46.4,7,5,820,798.0
托,tuō,"to hold up with palm; to support, rely on",手,64.3,6,5,359,799.0
烈,liè,"fiery, violent, vehement, ardent",火,86.6,10,5,1871,802.0
索,suǒ,"large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated",糸,120.4,10,5,1851,805.0
胡,hú,"recklessly, foolishly; wildly",肉,130.5,9,5,1419,806.0
靠,kào,"lean on, trust, depend on; near",非,175.7,15,5,3259,808.0
版,bǎn,printing blocks; edition,片,91.4,8,5,1143,810.0
宝,bǎo,"treasure, jewel; precious, rare",宀,40.5,8,5,1274,811.0
欧,ōu,translit.: Europe; ohm; surname,欠,76.4,8,5,1053,823.0
核,hé,"seed, kernel, core, nut; atom",木,75.6,10,5,1848,828.0
暗,àn,"dark; obscure; in secret, covert",日,72.9,13,5,2909,829.0
良,liáng,"good, virtuous, respectable",艮,138.1,7,5,884,835.0
升,shēng,"arise, go up; hoist; advance",十,24.2,4,5,125,837.0
临,lín,"draw near, approach; descend",丨,2.8,9,5,1471,839.0
架,jià,"rack, stand, prop; prop up",木,75.5,9,5,1743,846.0
域,yù,"district, region, boundary; land",土,32.8,11,5,2164,847.0
括,kuò,"include, embrace, enclose",手,64.6,9,5,1383,850.0
编,biān,"knit, weave; arrange; compile",糸,120.9,12,5,2822,858.0
测,cè,"measure, estimate, conjecture",水,85.6,9,5,1670,861.0
屋,wū,"house; room; building, shelter",尸,44.6,9,5,1722,863.0
渐,jiàn,gradually,水,85.8,11,5,2417,870.0
救,jiù,"save, rescue, relieve; help, aid",攴,66.7,11,5,2232,872.0
枪,qiāng,"spear, lance; gun, rifle",木,75.4,8,5,1027,874.0
县,xiàn,"county, district, subdivision",厶,28.5,7,5,720,877.0
尚,shàng,"still, yet; even; fairly, rather",小,42.5,8,5,1075,878.0
毫,háo,fine hair; measure of length,毛,82.7,11,5,2376,879.0
移,yí,"change place, shift; move about",禾,115.6,11,5,2316,880.0
娘,niáng,mother; young girl; woman; wife,女,38.7,10,5,2144,881.0
智,zhì,"wisdom, knowledge, intelligence",日,72.8,12,5,2670,885.0
掌,zhǎng,"palm of hand, sole of foot, paw",手,64.8,12,5,2610,890.0
遗,yí,lose; articles lost; omit,辵,162.9,12,5,2633,892.0
固,gù,"to become solid, solidify; strength",囗,31.5,8,5,1093,893.0
席,xí,seat; mat; take seat; banquet,巾,50.7,10,5,2023,894.0
秘,mì,"secret, mysterious, abstruse",禾,115.5,10,5,1949,896.0
均,jūn,"equal, even, fair; all, also",土,32.4,7,5,640,903.0
销,xiāo,"melt, fuse; market, sell",金,167.7,12,5,2659,904.0
诗,shī,"poetry; poem, verse, ode",言,149.6,8,5,1288,906.0
藏,cáng,"hide, conceal; hoard, store up",艸,140.14,17,5,3392,907.0
损,sǔn,diminish; impair; injure,手,64.7,10,5,1798,911.0
忽,hū,"suddenly, abruptly; neglect",心,61.4,8,5,1197,912.0
巨,jù,"large, great, enormous; chief",工,48.2,4,5,101,913.0
炮,pào,"large gun, cannon; artillery",火,86.5,9,5,1658,914.0
录,lù,"copy, write down, record",彐,58.5,8,5,1304,919.0
乡,xiāng,country; rural; village,幺,52.0,3,5,73,922.0
庭,tíng,courtyard; spacious hall or yard,广,53.7,9,5,1624,931.0
妇,fù,married women; woman; wife,女,38.3,6,5,579,932.0
归,guī,"return; return to, revert to",彐,58.2,5,5,234,933.0
含,hán,hold in mouth; cherish; contain,口,30.4,7,5,800,937.0
摇,yáo,"wag, swing, wave; shake; scull",手,64.1,13,5,2841,940.0
补,bǔ,"mend, patch, fix, repair, restore",衣,145.2,7,5,888,944.0
谓,wèi,"say, tell; call, name; be called",言,149.9,11,5,2466,945.0
毒,dú,"poison, venom; poisonous",毋,80.4,9,5,1362,947.0
疗,liáo,"be healed, cured, recover",疒,104.2,7,5,834,949.0
逐,zhú,"chase, expel; one by one",辵,162.7,10,5,1870,954.0
寻,xún,"seek, search, look for; ancient",彐,58.3,6,5,563,962.0
厂,chǎng,"factory, workshop; radical 27",厂,27.0,2,5,6,963.0
岸,àn,"bank, shore; beach, coast",山,46.5,8,5,1105,971.0
炸,zhà,to fry in oil; to scald; to explode,火,86.5,9,5,1656,976.0
载,zài,"load; carry; transport, convey",戈,62.6,10,5,1787,977.0
避,bì,avoid; turn aside; escape; hide,辵,162.13,16,5,3385,991.0
抓,zhuā,"scratch; clutch, seize, grab",手,64.4,7,5,633,992.0
荣,róng,"glory, honor; flourish, prosper",艸,140.6,9,5,1415,993.0
姑,gū,,女,38.5,8,5,1325,994.0
逃,táo,"escape, flee; abscond, dodge",辵,162.6,9,5,1588,996.0
顶,dǐng,"top, summit, peak; to carry on the head",頁,181.2,8,5,971,1000.0
玉,yù,"jade, precious stone, gem",玉,96.0,5,5,190,1001.0
迫,pò,"coerce, force, compel; urgent",辵,162.5,8,5,1156,1006.0
洞,dòng,"cave, grotto; ravine; hole",水,85.6,9,5,1669,1015.0
卷,juǎn,scroll; curl; make a comeback,卩,26.6,8,5,1231,1016.0
坦,tǎn,"flat, smooth; self-possessed",土,32.5,8,5,962,1017.0
宁,níng,"calm, peaceful, serene; healthy",宀,40.2,5,5,312,1019.0
训,xùn,"teach, instruct; exegesis",言,149.3,5,5,319,1022.0
私,sī,"private, personal; secret",禾,115.2,7,5,766,1023.0
丝,sī,silk; fine thread; wire; strings,一,1.4,5,5,347,1026.0
握,wò,"grasp, hold fast, take by hand",手,64.9,12,5,2538,1032.0
